order id,customer id,product id,order status,payment id,purchase date,shipping id,'loyalty':'rating','quantity':'cost'
1,1000,SMARTPHONE_SKU1004,Cancelled,3,3/20/2024,1,'No': '2','7': '126.8240468'
2,1000,TABLET_SKU1002,Completed,5,4/20/2024,4,'No': '3','3': '55.75928829'
3,1002,LAPTOP_SKU1005,Completed,3,10/17/2023,3,'No': '3','4': '136.8895794'
4,1002,SMARTPHONE_SKU1004,Completed,2,8/9/2024,4,'Yes': '2','4': '125.2583178'
5,1003,SMARTPHONE_SKU1001,Completed,2,5/21/2024,3,'Yes': '5','2': '4.189729272'
6,1004,SMARTPHONE_SKU1001,Completed,3,5/26/2024,1,'No': '5','4': '3.770756345'
7,1005,SMARTWATCH_SKU1003,Completed,5,1/30/2024,4,'No': '3','9': '69.02969117'
8,1005,LAPTOP_SKU1005,Completed,4,6/24/2024,4,'No': '3','9': '121.6796261'
9,1006,SMARTPHONE_SKU1004,Cancelled,4,10/3/2023,1,'No': '2','7': '126.8240468'
10,1006,LAPTOP_SKU1005,Completed,2,1/1/2024,3,'Yes': '3','9': '136.8895794'
11,1006,TABLET_SKU1002,Completed,5,6/25/2024,4,'Yes': '3','10': '55.75928829'
12,1007,SMARTPHONE_SKU1004,Cancelled,3,11/7/2023,4,'No': '2','9': '125.2583178'
13,1008,SMARTWATCH_SKU1003,Completed,2,9/25/2023,3,'No': '3','4': '77.65840257'
14,1011,SMARTPHONE_SKU1004,Completed,3,7/7/2024,1,'No': '2','10': '126.8240468'
15,1013,SMARTPHONE_SKU1004,Cancelled,5,3/18/2024,4,'No': '2','7': '125.2583178'
16,1014,SMARTWATCH_SKU1003,Cancelled,3,1/2/2024,1,'No': '3','6': '69.89256231'
17,1014,SMARTPHONE_SKU1004,Completed,2,5/18/2024,1,'Yes': '2','6': '126.8240468'
18,1015,SMARTPHONE_SKU1001,Completed,5,9/2/2024,1,'No': '5','4': '3.770756345'
19,1016,SMARTPHONE_SKU1001,Completed,5,7/7/2024,4,'Yes': '5','5': '3.724203797'
20,1018,SMARTPHONE_SKU1001,Completed,5,7/23/2024,3,'No': '5','6': '4.189729272'
21,1019,SMARTPHONE_SKU1001,Cancelled,2,3/14/2024,3,'No': '5','4': '4.189729272'
22,1019,TABLET_SKU1002,Completed,2,4/20/2024,3,'No': '3','4': '62.72919932'
23,1019,SMARTWATCH_SKU1003,Cancelled,5,7/21/2024,3,'Yes': '3','1': '77.65840257'
24,1020,SMARTWATCH_SKU1003,Cancelled,4,12/2/2023,3,'No': '3','4': '77.65840257'
25,1021,SMARTWATCH_SKU1003,Completed,2,3/20/2024,4,'Yes': '3','1': '69.02969117'
26,1022,SMARTWATCH_SKU1003,Cancelled,5,4/27/2024,4,'No': '3','8': '69.02969117'
27,1024,SMARTPHONE_SKU1004,Completed,2,7/10/2024,4,'No': '2','2': '125.2583178'
28,1025,LAPTOP_SKU1005,Completed,4,1/29/2024,4,'No': '3','6': '121.6796261'
29,1025,SMARTPHONE_SKU1001,Completed,2,8/28/2024,3,'No': '5','4': '4.189729272'
30,1027,SMARTPHONE_SKU1004,Completed,5,11/28/2023,4,'No': '2','6': '125.2583178'
31,1028,SMARTWATCH_SKU1003,Completed,4,11/30/2023,4,'No': '3','8': '69.02969117'
32,1030,SMARTWATCH_SKU1003,completed,4,2/27/2024,3,'No': '3','5': '77.65840257'
33,1031,SMARTWATCH_SKU1003,Completed,4,1/21/2024,3,'No': '3','7': '77.65840257'
34,1031,SMARTPHONE_SKU1001,Completed,4,9/3/2024,4,'No': '5','5': '3.724203797'
35,1033,TABLET_SKU1002,Completed,4,11/30/2023,4,'No': '3','4': '55.75928829'
36,1033,SMARTPHONE_SKU1004,Completed,4,1/12/2024,1,'No': '2','4': '126.8240468'
37,1035,SMARTPHONE_SKU1001,Completed,2,9/24/2023,1,'No': '5','9': '3.770756345'
38,1035,SMARTPHONE_SKU1001,Completed,2,3/25/2024,1,'Yes': '5','3': '3.770756345'
39,1036,SMARTPHONE_SKU1004,Cancelled,4,10/12/2023,1,'Yes': '2','5': '126.8240468'
40,1036,SMARTPHONE_SKU1004,Cancelled,5,1/28/2024,3,'Yes': '2','1': '140.9156075'
41,1038,SMARTWATCH_SKU1003,Completed,5,7/8/2024,4,'No': '3','5': '69.02969117'
42,1038,SMARTWATCH_SKU1003,Completed,2,7/29/2024,1,'Yes': '3','6': '69.89256231'
43,1038,SMARTPHONE_SKU1001,completed,4,8/17/2024,3,'No': '5','7': '4.189729272'
44,1038,SMARTPHONE_SKU1004,Completed,4,9/23/2024,4,'No': '2','7': '125.2583178'
45,1039,TABLET_SKU1002,Completed,3,8/31/2024,1,'No': '3','7': '56.45627939'
46,1040,SMARTPHONE_SKU1004,Completed,3,10/16/2023,1,'Yes': '2','8': '126.8240468'
47,1042,SMARTPHONE_SKU1001,Cancelled,3,6/26/2024,4,'No': '5','7': '3.724203797'
48,1042,SMARTWATCH_SKU1003,Completed,2,7/16/2024,4,'No': '3','7': '69.02969117'
49,1043,SMARTPHONE_SKU1001,Completed,4,3/5/2024,4,'No': '5','10': '3.724203797'
50,1047,TABLET_SKU1002,Completed,4,12/11/2023,3,'No': '3','10': '62.72919932'
51,1048,TABLET_SKU1002,Cancelled,4,10/28/2023,3,'No': '3','10': '62.72919932'
52,1049,SMARTPHONE_SKU1001,Completed,5,6/25/2024,1,'No': '5','7': '3.770756345'
53,1052,SMARTWATCH_SKU1003,cancelled,2,8/3/2024,1,'No': '3','6': '69.89256231'
54,1053,LAPTOP_SKU1005,Completed,4,12/20/2023,1,'No': '3','9': '123.2006214'
55,1054,SMARTPHONE_SKU1001,Completed,5,5/8/2024,1,'Yes': '5','3': '3.770756345'
56,1056,LAPTOP_SKU1005,Completed,3,4/27/2024,4,'No': '3','4': '121.6796261'
57,1057,SMARTWATCH_SKU1003,Cancelled,5,10/22/2023,3,'No': '3','9': '77.65840257'
58,1057,TABLET_SKU1002,Cancelled,4,3/28/2024,3,'No': '3','6': '62.72919932'
59,1058,SMARTPHONE_SKU1001,Completed,5,6/12/2024,4,'No': '5','8': '3.724203797'
60,1058,SMARTPHONE_SKU1004,Cancelled,3,7/8/2024,3,'No': '2','5': '140.9156075'
61,1059,LAPTOP_SKU1005,Completed,5,2/22/2024,4,'No': '3','7': '121.6796261'
62,1059,LAPTOP_SKU1005,Completed,4,6/27/2024,3,'No': '3','1': '136.8895794'
63,1060,LAPTOP_SKU1005,Completed,3,9/28/2023,1,'Yes': '3','4': '123.2006214'
64,1060,TABLET_SKU1002,Completed,5,12/7/2023,4,'Yes': '3','6': '55.75928829'
65,1060,SMARTPHONE_SKU1004,Completed,5,1/29/2024,4,'No': '2','2': '125.2583178'
66,1061,TABLET_SKU1002,Completed,2,10/25/2023,1,'Yes': '3','8': '56.45627939'
67,1061,LAPTOP_SKU1005,Completed,5,5/21/2024,3,'No': '3','1': '136.8895794'
68,1062,SMARTPHONE_SKU1004,Completed,4,3/23/2024,1,'No': '2','8': '126.8240468'
69,1063,LAPTOP_SKU1005,Completed,5,4/25/2024,1,'Yes': '3','4': '123.2006214'
70,1063,SMARTPHONE_SKU1004,Cancelled,3,7/8/2024,3,'No': '2','3': '140.9156075'
71,1066,SMARTPHONE_SKU1004,Cancelled,5,2/28/2024,1,'No': '2','3': '126.8240468'
72,1066,SMARTPHONE_SKU1004,Completed,3,7/13/2024,4,'No': '2','3': '125.2583178'
73,1067,TABLET_SKU1002,Cancelled,5,10/17/2023,1,'No': '3','7': '56.45627939'
74,1067,SMARTWATCH_SKU1003,Completed,4,12/30/2023,1,'No': '3','2': '69.89256231'
75,1069,SMARTPHONE_SKU1001,Completed,2,5/21/2024,1,'No': '5','7': '3.770756345'
76,1070,SMARTPHONE_SKU1001,Cancelled,5,11/29/2023,1,'No': '5','3': '3.770756345'
77,1071,SMARTWATCH_SKU1003,Completed,4,6/17/2024,4,'No': '3','9': '69.02969117'
78,1073,TABLET_SKU1002,Completed,2,7/11/2024,1,'No': '3','9': '56.45627939'
79,1073,TABLET_SKU1002,Completed,3,9/12/2024,3,'Yes': '3','8': '62.72919932'
80,1074,SMARTWATCH_SKU1003,Completed,2,11/6/2023,1,'No': '3','9': '69.89256231'
81,1077,SMARTPHONE_SKU1004,Completed,2,12/26/2023,3,'No': '2','3': '140.9156075'
82,1077,TABLET_SKU1002,Completed,2,5/14/2024,4,'No': '3','6': '55.75928829'
83,1079,SMARTPHONE_SKU1001,Completed,5,10/24/2023,1,'No': '5','2': '3.770756345'
84,1079,SMARTPHONE_SKU1004,Completed,5,9/12/2024,4,'Yes': '2','4': '125.2583178'
85,1079,SMARTPHONE_SKU1004,Completed,4,9/15/2024,4,'No': '2','3': '125.2583178'
86,1080,SMARTPHONE_SKU1004,Cancelled,5,1/3/2024,1,'No': '2','4': '126.8240468'
87,1080,TABLET_SKU1002,completed,3,8/18/2024,3,'No': '3','1': '62.72919932'
88,1083,SMARTWATCH_SKU1003,Completed,3,7/29/2024,4,'No': '3','4': '69.02969117'
